現金
月	日	摘要	借方	貸方
6	27	駐車場代（７月分）	5,050		
6	27	ガソリン代	4,000		
7	27	ガソリン代	5,000		
8	7	駐車場代	650		
8	29	ガソリン代	2,000		
9	26	ガソリン代	2,000		
9	27	ガソリン代	3,000		
10	23	ガソリン	4,000		
10	26	駐車場代（１１月分）	5,050		
10	27	ガソリン	3,000		
11	26	駐車場代（１２月分）	5,050		
11	30	ガソリン代	4,000		
12	21	ガソリン	3,000		
12	24	運賃（長崎ー博多往復）	6,400		
12	26	駐車場代（１月分）	5,050		

支払手数料
月	日	摘要	借方	貸方
3	17	仲介手数料	5,500		
4	8	4/7の売上	3,366		
4	29	4/22の売上	324		
9	13	9/12の売上（カード）	321		
11	1	10/31の売上	507		
11	15	11/14の売上	828		
11	24	11/23の売上	535		
12	21	12/20の売上	1,026		

未収金
月	日	摘要	借方	貸方
4	7	本日の売上（クレカ）	90,000		
4	22	本日の売上（カード）	10,000		
9	12	本日の売上（カード）	9,900		
10	31	本日の売上（クレカ）	15,660		
11	14	本日の売上（クレカ）	25,560		
11	23	本日の売上（クレカ）	16,500		
12	20	本日の売上（クレカ）	31,680		

貯蔵品
月	日	摘要	借方	貸方
4	9	収入印紙（200円×2）	400		

租税公課
月	日	摘要	借方	貸方
4	9	収入印紙使用	200		

接待交際費
月	日	摘要	借方	貸方
4	13	佐橋先生へのプレゼント協賛金	1,000		
5	6	プレゼント（真紀子さん綾奈さん愛美さん）	2,840		

寄附金
月	日	摘要	借方	貸方
4	27	地区交通安全協会費	2,500		

普通預金
月	日	摘要	借方	貸方
4	29	4/22の売上	9,676		
9	13	9/12の売上（カード）	9,579		
11	1	10/31の売上	15,153		
11	15	11/14の売上	24,732		
11	24	11/23の売上	15,965		
12	21	12/20の売上	30,654		

消耗品費
月	日	摘要	借方	貸方
4	30	サプリメント試食、化粧品商材	14,812		

旅費交通費
月	日	摘要	借方	貸方
5	1	高速代			
5	2	高速代			
5	6	高速代			
5	7	高速代			

広告宣伝費
月	日	摘要	借方	貸方
6	29	出店料（ながよマルシェ）	2,000		
8	27	出店料（現川分校マルシェ）	2,500		
10	20	レンタルスペース前金	660		
11	10	レンタルスペース	990		
12	4	出店料（現川分校マルシェ）	2,500		
12	7	レンタルスペース代	500		
12	8	年賀状	1,260		
12	26	年賀状	945		

贈答品
月	日	摘要	借方	貸方
7	11	クーラントシート	35,750		
9	7	飲み物	336		
10	20	プレゼント(塚本さん、佳余子さん)	1,058		
10	22		2,160		
11	28	亜鉛、オメガ３	25,272		

通信費
月	日	摘要	借方	貸方
8	16	yutteさんにチラシ発送	210		


月	日	摘要	借方	貸方
11	25	切手	84		
12	27	ガソリン	4,000		
12	30	ガソリン	3,000		

贈答品費
月	日	摘要	借方	貸方
12	24	誕生日お祝い	300		

